"respondentID","comfort_food","comfort_food_reasons","comfort_food_reasons_coded","comfort_food_reasons_coded","cuisine","fav_cuisine","fav_cuisine_coded","fav_food","food_childhood","fries","greek_food","indian_food","italian_food","persian_food","thai_food","soup"
"1","none","we dont have comfort ","9","9","1","Arabic cuisine","3","1","rice  and chicken ","2","5","5","5","5","1","1"
"2","chocolate, chips, ice cream","Stress, bored, anger","1","1","1","Italian","1","1","chicken and biscuits, beef soup, baked beans","1","4","4","4","4","2","1"
"3","frozen yogurt, pizza, fast food","stress, sadness","1","1","3","italian","1","3","mac and cheese, pizza, tacos","1","5","5","5","5","5","1"
"4","Pizza, Mac and cheese, ice cream","Boredom","2","2","2","Turkish ","3","1","Beef stroganoff, tacos, pizza","2","5","5","5","5","5","1"
"5","Ice cream, chocolate, chips ","Stress, boredom, cravings ","1","1","2","Italian ","1","3","Pasta, chicken tender, pizza ","1","4","2","5","2","4","1"
"6","Candy, brownies and soda.","None, i don't eat comfort food. I just eat when i'm hungry.","4","4","2","African","6","3","Fries, plaintain & fried fish","1","2","5","5","5","4","1"
"7","Chocolate, ice cream, french fries, pretzels","stress, boredom","1","1","1","Thai","4","1","grilled chicken, hamburgers","1","5","5","5","5","5","1"
"8","Ice cream, cheeseburgers, chips.","I eat comfort food when im stressed out from school(finals week), when I`m sad, or when i am dealing with personal family issues.","1","1","1","Anything american style.","5","1","chicken, cheesey potatoes, and hot dogs","1","3","1","3","1","1","1"
"9","Donuts, ice cream, chips","Boredom ","2","2","1","Seafood","1","3","Shrimp, spaghetti","1","5","5","5","5","5","2"
"10","Mac and cheese, chocolate, and pasta ","Stress, anger and sadness ","1","1","1","Italian ","1","1","Pasta, Eggs, Pancakes ","1","5","4","5","4","4","1"
"11","Pasta, grandma homemade chocolate cake anything homemade ","Boredom ","2","2","1","Orange chicken and chow mani noodles ","4","1","Chicken","1","1","1","5","2","2","1"
"12","chocolate, pasta, soup, chips, popcorn","sadness, stress, cold weather","3","3","1","Italian","1","1","Scalloped potatoes and ham ","1","5","5","5","5","5","1"
"13","Cookies, popcorn, and chips","Sadness, boredom, late night snack ","3","3","1","Chinese ","4","3","Pizza, chicken wings, and corn on the cob ","1","3","3","4","3","3","2"
