"respondentID","exercise","healthy_feeling","healthy_meal","ideal_diet","ideal_diet_coded","life_rewarding","self_perception_weight"
"1","1","2","looks not oily ","being healthy ","8","1","3"
"2","1","5","Grains, Veggies, (more of grains and veggies), small protein and fruit with dairy ","Try to eat 5-6 small meals a day. While trying to properly distribute carbs, protein, fruits, veggies, and dairy.  ","3","1","3"
"3","2","6","usually includes natural ingredients; nonprocessed food","i would say my ideal diet is my current diet","6","7","6"
"4","3","7","Fresh fruits& vegetables, organic meats ","Healthy, fresh veggies/fruits & organic foods ","2","2","5"
"5","1","6","A lean protein such as grilled chicken, green vegetables and  brown rice or other whole grain ","Ideally I would like to be able to eat healthier foods in order to loose weight. ","2","1","4"
"6","2","4","Requires veggies, fruits and a cooked meal. ","My ideal diet is to eat 3 times a day including breakfast on time. Eat healthy food. ","2","4","5"
"7","1","4","Protein, vegetables, fruit, and some carbs","I would ideally like to eat more fresh fruits and vegetables. However, its difficult to get to the store all the time to buy fresh.","2","8","4"
"8","2","3","A healthy meal has a piece of meat followed by a lot of fruit and veggies","My ideal diet is filled with a lot of fruit and chicken. I also really enjoy eggs any type of way with toast.","2","3","3"
"9","2","7","Colorful","The same as it is now.","6","8","4"
"10","1","3","Chicken and rice with a side of veggies. ","Lots of protein, carbs, and fruits and veggies. ","2","3","3"
"11","1","9","Chicken, and veggies ","Chicken, fish ","7","8","1"
"12","1","1","lean protein, veggies, fruit, complex carbs","More healthy varienty. ","2","1","2"
"13","3","9","A salad with a reasonable amount of dressing and a meat.","My ideal diet would be the proper portions of all food categories. I would also like to eat proteins around my workouts and avoid all deserts.","1","9","5"
"14","2","8","Lots of vegetabls with some grains like rice. Also has lean meat such as fish or chicken.","organic/healthy. fruits and vegetables but still protein to give sustainance. ","2","10","3"
"15","2","2","Green and not greasy","Eat a little less than I usually do, and intaking more protein. ","1","1","3"
"16","1","6","chicken, veggies, rice","I wish I ate lots of healthy foods like veggies and salads. ","2","6","2"
"17","2","7","Not too much carbs, a lot of protein, healthy fats and fruits and vegs ","Vegetables and Fruits with Meat ","2","9","3"
"18","1","8","for me usually a big piece of chicken or steak with a side of veggies, and i usually have rice with mine as well","I like how my diet it now. However, after my season i am going to cut back on some carbs because i won't be working out as much.","1","7","2"
"19","3","6","Everything from food group ","Lots of fruit and veggies. Lots of chicken.","2","9","3"
"20","2","4","lots of fruits and vegitibles, not any fried foods","Something that tastes good and also is good for you. This is very hard to find though.","3","7","4"
"21","1","5","Rice, Meat, vegetable","3 smaller meals a day","1","2","6"
"22","1","8","Green and colourful","Mix of Mexican, Asian, and Italian foods.","7","7","2"
"23","1","2","pasta. veg, water ","fruit, veg and protien ","2","5","2"
"24","3","4","Protein, vegetables, grains ","3 healthy meals a day. No caffiene. ","1","5","3"
"25","1","5","A healthy meal is a lean meat with mostly vegetables and a starch like brown rice or quinoa.","I would like to be a person to eat a larger vegetable based diet with little to no processed products in my diet especially sugar and salt.","2","2","4"
"26","1","8","good portions, lots of color, targets main food groups","healthy, colorful, tasty, room for desserts","2","5","3"
"27","1","9","A rice, a vegetable, a piece of meat ","Very healthy diet, and to cook at home with organic foods. ","5","9","2"
"28","1","9","Salad, vegetable, carb, protein ","My current diet","6","9","2"
"29","2","4","Protein, vegetable and grains","Steak and Burgers","7","3","3"
"30","2","9","Grilled chicken, mac and cheese, broccoli, apple, milk","Heavy in protein, fruits, and vegetables. ","7","10","2"
"31","2","7","whole grain carbs, vegetables, a small amount of protein","I would eat enough fruits and vegetables everyday. I would have home cooked food at least 5 days a week. I wouldnt like sugar so much.","2","8","3"
"32","2","5","4-6 ounces chicken or fish, side of potatoes, and green beans","diet of 1500-2000 calories of white meat, vegetables, and fruit that are all fresh and not processed","1","3","4"
"33","1","5","Plenty of greens and lean proteins","Plenty of protein, carbs from vegetables and fruits, and healthy fats.","7","8","4"
"34","3","7","A balance of vegetables and cooked lean meat.","my ideal diet would be more fruits and vegetables. Also less desserts. ","2","3","3"
"35","1","1","a lot of greens","healthy and protien","7","3","2"
"36","1","2","Some kind of protein, a vegetable, and a grain","Pretty much what I eat now","6","3","2"
"37","1","7","a meal with a meat, vegetable, grain, and fruit ","I wish I had the time and energy to cook more at home on my own. ","5","7","4"
"38","3","4","A protein, starch, veg, and a healthier dessert. ","I would like to get all of the food groups in each day.  ","2","2","4"
"39","2","6","a lean protein plus the addition of 2-3 fruits and vegetables","My ideal diet would be eating multiple fruits and vegetables at each meal. Also I would only eat lean protein if possible.","2","8","4"
"40","1","3","Chicken breast with veggies ","Red and white meats, potatoes, green beans ","2","5","1"
"41","1","10","A meal with all of the food groups. ","Idealy I would have basically the same breakfast as I do now just with more fruits. For lunch I would have more vegetables and fruits. For dinner I would have the same.   ","2","8","2"
"42","1","6","a salad with chicken and 2 tablespoons of salad dressing ","I to eat enough food to sustain me throughout the entire day ","3","4","6"
"43","2","6","Grilled chicken, side salad, rice and broccoli and cranberries","Same as above but with a more concrete lunch. Cut down on excessive snacking. ","1","7","3"
"44","3","6","It is probably more on the green side and there is less fryed or overly seasoned food. There would be more organic foods rather than processed foods. ","My ideal diet involves organic foods, more nuts, fruits, veggies and water and a complete absence of processed foods, genetically enhanced foods or fast foods. My ideal diet would be one that involves foods that are grown by me or close to me and one that is essentially best for my health.","2","8","5"
"45","1","8","Mostly green!","My ideal diet would be to be a vegetarian; however, considering my highly active lifestyle island strength requirement I need as much ""real"" protein I can get. ","7","10","3"
"46","1","3","Colorful ","The same as my current diet, maybe less carbs. ","6","3","1"
